alloy_id,reference_id,TME,Ti,Nb,Mo,Zr,Sn,Ta,DEF,TEMP,TIME
326,86,78.5,82.45,15.17,0,0,2.38,0,0,0,0
327,86,75.66,81.24,15.39,0,0,3.37,0,0,0,0
328,86,52.15,80.62,15.5,0,0,3.88,0,0,0,0
329,86,52.43,79.99,15.61,0,0,4.4,0,0,0,0
330,86,71.7,79.35,15.72,0,0,4.93,0,0,0,0
331,86,61.21,78.71,15.84,0,0,5.45,0,0,0,0
332,86,121.86,77.38,16.08,0,0,6.54,0,0,0,0
333,86,132.35,76.02,16.32,0,0,7.66,0,0,0,0
334,87,44,50,0,0,50,0,0,0,0,0
335,87,40,47.5,5,0,47.5,0,0,0,0,0
336,87,35,45,10,0,45,0,0,0,0,0
337,87,42,40,20,0,40,0,0,0,0,0
338,87,49,33.33,33.34,0,33.33,0,0,0,0,0
350,92,120,91.91,0,6.63,0,0,1.46,0,0,0
352,93,100.19,97.44,0,2.56,0,0,0,0,0,0
381,101,55,74.43,25.57,0,0,0,0,0,0,0
382,102,79,94.75,0,5.25,0,0,0,0,0,0
383,102,75,88.91,0,11.09,0,0,0,0,0,0
384,103,42.76,75.64,22.36,0,0,2,0,89,0,0
393,105,56,91.67,8.33,0,0,0,0,0,0,0
396,105,65,80.49,19.51,0,0,0,0,0,0,0
399,105,60,76,24,0,0,0,0,0,0,0
402,106,91.75,98.48,0,1.52,0,0,0,0,0,0
403,106,80.23,97.44,0,2.56,0,0,0,0,0,0
404,106,75.48,96.91,0,3.09,0,0,0,0,0,0
405,106,82.49,96.11,0,3.89,0,0,0,0,0,0
406,106,89.04,95.84,0,4.16,0,0,0,0,0,0
407,106,94.24,95.57,0,4.43,0,0,0,0,0,0
408,106,93.79,95.3,0,4.7,0,0,0,0,0,0
409,106,113.22,95.02,0,4.98,0,0,0,0,0,0
410,106,101.7,94.75,0,5.25,0,0,0,0,0,0
411,106,76.16,91.91,0,8.09,0,0,0,0,0,0
413,108,65,74,26,0,0,0,0,95,900,0.5
414,108,62,74,24,0,2,0,0,95,900,0.5
416,108,60,74,20,0,6,0,0,95,900,0.5
417,108,75,74,18,0,8,0,0,95,900,0.5
418,108,70,74,16,0,10,0,0,95,900,0.5
419,109,91,88.78,4.58,6.64,0,0,0,80,950,1
420,110,92.7,90.9,9.1,0,0,0,0,0,0,0
421,110,93.11,90.8,9.2,0,0,0,0,0,0,0
422,110,98.88,82.65,17.35,0,0,0,0,0,0,0
423,110,77.31,72.5,27.5,0,0,0,0,0,0,0
424,110,95.22,71.35,28.65,0,0,0,0,0,0,0
425,110,112.5,98.7,1.3,0,0,0,0,0,0,0
426,110,108,97.9,2.1,0,0,0,0,0,0,0
